"&#212;","&Ocirc;","latin_capital_letter_O_with_circumflex",
"&#213;","&Otilde;","latin_capital_letter_O_with_tilde",
"&#214;","&Ouml;","latin_capital_letter_O_with_diaeresis",
"&#215;","&times;","multiplication_sign",
"&#216;","&Oslash;","latin_capital_letter_O_with_slash",
"&#217;","&Ugrave;","latin_capital_letter_U_with_grave",
"&#218;","&Uacute;","latin_capital_letter_U_with_acute",
"&#219;","&Ucirc;","latin_capital_letter_U_with_circumflex",
"&#220;","&Uuml;","latin_capital_letter_U_with_diaeresis",
"&#221;","&Yacute;","latin_capital_letter_Y_with_acute",
"&#222;","&THORN;","latin_capital_letter_THORN",
"&#223;","&szlig;","latin_small_letter_sharp_s_esszed",
"&#224;","&agrave;","latin_small_letter_a_with_grave",
"&#225;","&aacute;","latin_small_letter_a_with_acute",
"&#226;","&acirc;","latin_small_letter_a_with_circumflex",
"&#227;","&atilde;","latin_small_letter_a_with_tilde",
"&#228;","&auml;","latin_small_letter_a_with_diaeresis",
"&#229;","&aring;","latin_small_letter_a_with_ring_above",
"&#230;","&aelig;","latin_small_letter_ae",
"&#231;","&ccedil;","latin_small_letter_c_with_cedilla",
"&#232;","&egrave;","latin_small_letter_e_with_grave",
"&#233;","&eacute;","latin_small_letter_e_with_acute",
"&#234;","&ecirc;","latin_small_letter_e_with_circumflex",
"&#235;","&euml;","latin_small_letter_e_with_diaeresis",
"&#236;","&igrave;","latin_small_letter_i_with_grave",
"&#237;","&iacute;","latin_small_letter_i_with_acute",
"&#238;","&icirc;","latin_small_letter_i_with_circumflex",
"&#239;","&iuml;","latin_small_letter_i_with_diaeresis",
"&#240;","&eth;","latin_small_letter_eth",
"&#241;","&ntilde;","latin_small_letter_n_with_tilde",
"&#242;","&ograve;","latin_small_letter_o_with_grave",
"&#243;","&oacute;","latin_small_letter_o_with_acute",
"&#244;","&ocirc;","latin_small_letter_o_with_circumflex",
"&#245;","&otilde;","latin_small_letter_o_with_tilde",
"&#246;","&ouml;","latin_small_letter_o_with_diaeresis",
"&#247;","&divide;","division_sign",
"&#248;","&oslash;","latin_small_letter_o_with_slash",
"&#249;","&ugrave;","latin_small_letter_u_with_grave",
"&#250;","&uacute;","latin_small_letter_u_with_acute",
"&#251;","&ucirc;","latin_small_letter_u_with_circumflex",
"&#252;","&uuml;","latin_small_letter_u_with_diaeresis",
"&#253;","&yacute;","latin_small_letter_y_with_acute",
"&#254;","&thorn;","latin_small_letter_thorn",
"&#255;","&yuml;","latin_small_letter_y_with_diaeresis",
"&#338;","","latin_capital_letter_OE",
"&#339;","","latin_small_letter_oe",
"&#352;","","latin_capital_letter_S_with_caron",
"&#353;","","latin_small_letter_s_with_caron",
"&#376;","","latin_capital_letter_Y_with_diaeresis",
"&#402;","","latin_small_f_with_hook_function",
"&#8211;","","en_dash",
"&#8212;","","em_dash",
"&#8216;","","left_single_quotation_mark",
"&#8217;","","right_single_quotation_mark",
"&#8218;","","single_low9_quotation_mark",
"&#8220;","","left_double_quotation_mark",
"&#8221;","","right_double_quotation_mark",
"&#8222;","","double_low9_quotation_mark",
"&#8224;","","dagger",
"&#8225;","","double_dagger",
"&#8226;","","bullet",
"&#8230;","","horizontal_ellipsis",
"&#8240;","","per_thousand_sign",
"&#8364;","&euro;","euro_sign",
"&#8482;","","trade_mark_sign",
